id,district_id,electoral_district_id,eligible_voters,voters,question_1_invalid_votes,question_1_valid_votes,question_1_vote_yes,question_1_vote_no,question_2_invalid_votes,question_2_valid_votes,question_2_vote_yes,question_2_vote_no,voter_turnout,question_1_invalid_votes_percentage,question_1_valid_votes_percentage,question_1_vote_yes_percentage,question_1_vote_no_percentage,question_2_invalid_votes_percentage,question_2_valid_votes_percentage,question_2_vote_yes_percentage,question_2_vote_no_percentage
035D,03,5D,5,0,0,752,752,46,706,428,278,51,0.0,0.0,inf,inf,inf,inf,inf,inf,inf
035E,03,5E,5,0,0,544,544,46,498,267,231,37,0.0,0.0,inf,inf,inf,inf,inf,inf,inf
03601,03,601,6,1693,0,724,7,15,709,529,180,42,282.1666666666667,0.0,0.42764323685764916,0.004134672179562906,0.008860011813349085,0.41878322504430004,0.31246308328411104,0.10632014176018902,0.024808033077377438
03602,03,602,6,1521,0,690,6,17,673,513,160,42,253.5,0.0,0.4536489151873767,0.0039447731755424065,0.011176857330703484,0.44247205785667326,0.33727810650887574,0.1051939513477975,0.027613412228796843
03603,03,603,6,1444,0,692,5,31,661,499,162,48,240.66666666666666,0.0,0.4792243767313019,0.0034626038781163434,0.02146814404432133,0.4577562326869806,0.34556786703601106,0.11218836565096953,0.0332409972299169
03604,03,604,6,1527,0,833,6,17,816,596,220,53,254.5,0.0,0.5455140798952194,0.003929273084479371,0.011132940406024885,0.5343811394891945,0.3903077930582842,0.14407334643091027,0.03470857891290111
03605,03,605,6,1633,0,835,8,28,807,597,210,40,272.1666666666667,0.0,0.511328842620943,0.004898958971218616,0.017146356399265157,0.4941824862216779,0.3655848132271892,0.12859767299448868,0.02449479485609308
03606,03,606,6,1354,0,723,2,35,688,494,194,50,225.66666666666666,0.0,0.53397341211226,0.0014771048744460858,0.0258493353028065,0.5081240768094535,0.36484490398818314,0.1432791728212703,0.03692762186115214
03607,03,607,6,1314,0,701,13,3,698,506,192,3,219.0,0.0,0.5334855403348554,0.00989345509893455,0.00228310502283105,0.5312024353120244,0.3850837138508371,0.1461187214611872,0.00228310502283105
03608,03,608,6,1398,0,734,5,27,707,523,184,42,233.0,0.0,0.525035765379113,0.00357653791130186,0.019313304721030045,0.505722460658083,0.3741058655221745,0.13161659513590845,0.030042918454935622
03609,03,609,6,1344,0,673,6,12,661,508,153,40,224.0,0.0,0.5007440476190477,0.004464285714285714,0.008928571428571428,0.49181547619047616,0.37797619047619047,0.11383928571428571,0.02976190476190476
03610,03,610,6,1372,0,693,6,33,660,481,179,56,228.66666666666666,0.0,0.5051020408163265,0.004373177842565598,0.024052478134110787,0.48104956268221577,0.35058309037900875,0.130466472303207,0.04081632653061224
03611,03,611,6,1274,0,615,6,15,600,453,147,29,212.33333333333334,0.0,0.4827315541601256,0.004709576138147566,0.011773940345368918,0.47095761381475665,0.3555729984301413,0.11538461538461539,0.022762951334379906
03612,03,612,6,1258,0,704,10,38,666,494,172,59,209.66666666666666,0.0,0.5596184419713831,0.00794912559618442,0.030206677265500796,0.5294117647058824,0.39268680445151033,0.13672496025437203,0.04689984101748808
03613,03,613,6,1254,0,604,8,14,590,411,179,38,209.0,0.0,0.48165869218500795,0.006379585326953748,0.011164274322169059,0.4704944178628389,0.3277511961722488,0.14274322169059012,0.030303030303030304
03614,03,614,6,1431,0,738,13,20,718,539,179,44,238.5,0.0,0.5157232704402516,0.009084556254367574,0.013976240391334731,0.5017470300489169,0.376659678546471,0.12508735150244585,0.030747728860936407
03615,03,615,6,745,0,425,5,15,410,332,78,41,124.16666666666667,0.0,0.5704697986577181,0.006711409395973154,0.020134228187919462,0.5503355704697986,0.44563758389261743,0.10469798657718121,0.05503355704697987
03616,03,616,6,674,0,349,4,9,340,259,81,23,112.33333333333333,0.0,0.5178041543026706,0.005934718100890208,0.013353115727002967,0.5044510385756676,0.38427299703264095,0.1201780415430267,0.03412462908011869
03617,03,617,6,1356,0,716,10,21,695,537,158,48,226.0,0.0,0.528023598820059,0.007374631268436578,0.015486725663716814,0.5125368731563422,0.39601769911504425,0.11651917404129794,0.035398230088495575
03618,03,618,6,1351,0,693,5,10,683,518,165,34,225.16666666666666,0.0,0.5129533678756477,0.003700962250185048,0.007401924500370096,0.5055514433752776,0.38341968911917096,0.12213175425610659,0.025166543301258327
03619,03,619,6,1234,0,530,5,10,520,389,131,28,205.66666666666666,0.0,0.42949756888168555,0.004051863857374392,0.008103727714748784,0.4213938411669368,0.31523500810372773,0.10615883306320907,0.022690437601296597
03620,03,620,6,1458,0,744,13,18,726,524,202,48,243.0,0.0,0.5102880658436214,0.008916323731138546,0.012345679012345678,0.49794238683127573,0.35939643347050754,0.13854595336076816,0.03292181069958848
036A,03,6A,6,0,0,920,920,30,890,649,241,36,0.0,0.0,inf,inf,inf,inf,inf,inf,inf
036B,03,6B,6,0,0,896,896,21,875,635,240,46,0.0,0.0,inf,inf,inf,inf,inf,inf,inf
036C,03,6C,6,0,0,953,953,29,924,638,286,61,0.0,0.0,inf,inf,inf,inf,inf,inf,inf
036D,03,6D,6,0,0,777,777,23,754,549,205,52,0.0,0.0,inf,inf,inf,inf,inf,inf,inf
